tur_type_id,tur_type_name,capacity,blade_number,rotor_diameter,rotor_swept_area,hub_height,power_regulation,cut_in_wind_speed,cut_out_wind_speed,rated_wind_speed,generator_type,rated_power,voltage,frequency,tower_type,tower_weight,pneumatic_brake,mechanical_brake,three_second_maximum
2,MY77,1500,3,77.36,4668.7,75,变桨变速,3,25,11.3,双馈异步,1550,690,50,锥管式,178.85,全顺桨,碟式,70
3,MY82,1500,3,82.6,5355.8,75,变桨变速,3,25,10.8,双馈异步,1550,690,50,锥管式,178.85,全顺桨,碟式,59.5
4,GW77,1500,3,77,4656,65,变桨变速,3,25,11.8,永磁同步,1500,620,50,锥管式,100,全顺桨,碟式,59.5
5,XE82,2000,3,82,5356,80,变桨变速,3,25,12.5,永磁同步,2156,690,50,锥管式,164,全顺桨,碟式,70
6,XE87,2000,3,87.6,6027,80,变桨变速,3.5,25,11.5,永磁同步,2000,660,50,锥管式,153.4,全顺桨,碟式,59.5
7,W87,2000,3,87,5942,80,变速变桨,3,25,11.4,双馈异步,2081,660,50,锥管式,195.88,全顺桨,碟式,70
8,MY100,3000,2,100,7854,75,变速变桨,3,25,13,永磁同步,3000,850,50,锥管式,230,全顺桨,高速轴制动,70
9,GW103,2500,3,103,8332,80,变速变桨,3,25,12.5,永磁同步,2600,690,50,锥管式,204.757,全顺桨,高速轴机械刹车,59.5
10,Vestas90,2000,3,90,6362,80,变速变桨,4,25,11.4,双馈异步,2000,690,50,锥管式,198.88,全顺桨,高速轴机械刹车,S Class
11,W93,2000,3,93,6792.9,80,变速变桨,3,25,10.8,双馈异步,2081,690,50,锥管式,189.635,全顺桨,高速轴机械刹车,59.5
12,XE93,2000,3,93.472,6854,80,变桨变速,3,25,11.3,永磁同步,2000,660,50,锥管式,179.5,全顺桨,碟式,70
13,XE96,2000,3,95.9,7223,80,变桨变速,3,25,11,永磁同步,2180,690,50,锥管式,178.5,全顺桨,碟式,70
14,MY104,2000,3,104,8494,85,变桨变速,3,20,10,双馈异步,2100,690,50,锥管式,210,全顺桨,碟式,59.5/70
15,GW109,2500,3,109,9331.32 ,80,变桨变速,3,25,10.3,永磁同步,2600,690,50,锥管式,225,全顺桨,发电机刹车,59.5
16,WD103,2000,3,103,8332,80,变桨变速,3,20,10.2,双馈异步,2100,690,50,锥管式,231,全顺桨,碟式,70
17,FD108,2000,3,108,9161,80,变桨变速,3,20,10,双馈异步,2600,690,50,锥管式,163,全顺桨,碟式,49
18,H111,2000,3,111,9677,80,变桨变速,3,25,9.6,双馈异步,2100,690,50,锥管式, ,全顺桨,碟式,52.5
19,UP96,2000,3,96.4,7298,80,变桨变速,3,25,10.1,双馈异步,2100,690,50,锥管式,185,全顺桨,高速轴机械刹车,52.5/70
20,XE105,2000,3,104.8,8624,80,变桨变速,3,22,10,永磁同步,2180,690,50,锥管式,169.8,全顺桨,高速轴机械刹车,52.5/70
21,XE116,2000,3,116,10563,85,变桨变速,3,20,9,永磁同步,2180,690,50,锥管式,221.9,全顺桨,高速轴机械刹车,52.5
22,MY110,2000,3,110,9483,85,变桨变速,3.6,10.1,18,双馈异步,2100,690,50,锥管式,185,全顺桨,高速轴机械刹车,52.5
23,GW93_S2,1500,3,93,6733.1,85,变桨变速,2.5,9.5,19,永磁同步,1650,690,50,锥管式,173,全顺桨,高速轴机械刹车,52.5
24,GW121,2500,3,121.5,11595,90,变桨变速,3,9.3,22,永磁同步,2600,690,50,锥管式,278.9,全顺桨,高速轴机械刹车,52.5
25,H102,2000,3,102,8171,80,变桨变速,3,10.2,25,双馈异步,2150,690,50,锥管式,183.1,全顺桨,高速轴机械刹车,52.5/70
26,SL113,3000,3,113.3,10039.7,90,变桨变速,3,11.5,25,双馈异步,3100,6900,50,锥管式,270.9,全顺桨,高速轴机械刹车,52.5
27,EN1800,1800,3,106,8820,80,变桨变速,3,20,9.5,双馈异步,1830,690,50,锥管式,128.85,全顺桨,高速轴机械刹车,52.5
28,EN2100,2100,3,110,9498,80,变桨变速,3,20,9.5,双馈异步,2200,690,50,锥管式,166.2,全顺桨,高速轴机械刹车,59.5
29,GW121,2500,3,121.5,11595,90,变桨变速,3,22,9.3,永磁同步,2600,690,50,锥管式,257.458,全顺桨,高速轴机械刹车,52.5
30,GW93,1500,3,93,6733,75,变桨变速,2.5,19,9.5,永磁同步,1650,690,50,锥管式,124.794,全顺桨,碟式,52.5
31,GW115,2000,3,115,10434,85,变桨变速,2.5,19,9,永磁同步,2120,690,50,锥管式,199.4,全顺桨,碟式,52.5
32,WD115,2000,3,115,10388,80,变桨变速,2.5,20,9.2,双馈异步,2600,690,50,锥管式,198.5,全顺桨,碟式,52.5
33,GW131/2200,2200,3,131,13471 ,90/140,变桨变速,3,22,8.6,永磁同步,2350,690,50,锥管式,341,全顺桨,碟式,52.5
34,GW130/2500,2500,3,130,13273,90/120,变桨变速,2.5,20,9.3,永磁同步,2650,690,50,锥管式,300,全顺桨,碟式,52.5
35,En-2.2/131,2200,3,131,13478 ,90/100/125/140,变桨变速,3,20,9.5,双馈异步,2350,690,50,锥管式,326.71,全顺桨,碟式,52.5
36,MY2.0-121,2000,3,121,11499 ,100,变桨变速,3,22,12,双馈异步,2150,690,50,锥管式,256,全顺桨,碟式,52.5
37,MY3.0-121,3000,3,121,11385,85,变桨变速,2.5,20,10,永磁同步,3250,690,50,锥管式,267.3,全顺桨,碟式,52.5/59.5/70
38,Vestas100,2000,3,100,7850,85/95,变桨变速,3,22,12.5,双馈异步,2100,690,50,锥管式,,全顺桨,碟式,59.5/70
39,XE122-2200,2000,3,122,11727,90,变桨变速,3,20,9,永磁同步,2380,690,50,锥管式,220,全顺桨,碟式,70
40,MY2.5-135,2500,3,135,14314,90/100/120,变桨变速,2.5,20,8.8,双馈异步,2700,690,50,锥管式,220,全顺桨,碟式,52.5
41,MY3.0-135,3000,3,135,14314,85/90/100/120,变桨变速,2.5,20,9.3,双馈异步,3150,690,50,锥管式,,全顺桨,碟式,52.5
42,MY3.0-145,3000,3,145,16505,85/90/100/120,变桨变速,2.5,20,9,半直驱/永磁同步,3250,690,50,锥管式,263.641,全顺桨,碟式,52.5
43,MY3.2-145,3200,3,145,16505,85/90/100/120,变桨变速,2.5,20,9,半直驱/永磁同步,3450,690,50,锥管式,263.641,全顺桨,碟式,52.5
44,WD131,2200,3,129.1,13083.4 ,90,变桨变速,3,20,9,双馈异步,2260,690,50,锥管式,233.33,全顺桨,碟式,52.5
45,En3.0-141,3000,3,141,15615,,变桨变速,3,20,9.5,双馈异步,3150,690,50,锥管式,,全顺桨,,52.5
46,GW140-3.4,3400,3,140,15481,100/110/120/130/140,变桨变速,2.5,20,11,永磁同步,3630,690,50,锥管式,340,全顺桨,碟式,52.5
47,GW3.0-140,3000,3,136.8,14711,100/110/120/130/140,变桨变速,2.5,20,11,永磁同步,3630,690,50,钢制锥筒/混塔,340,全顺桨,碟式,52.5
48,WT2.5-130,2500,3,130,13273,90/100,变桨变速,3,20,9.3,双馈异步,2631,690,50,锥管式,252.125,全顺桨,碟式,52.5
55,GW2.5-140,2500,3,140,15394,90/100/120/140,变桨变速,2.5,20,8.5,永磁同步,2650,690,50,,,全顺桨,叶轮刹车（维护型）,52.5
56,En2.5-141,2500,3,141,15615,90/100/125/140,变桨变速,3,20,9,双馈异步,2600,690,50,,,全顺桨,液压刹车,52.5
57,MY2.5-145,2500,3,144.73,16505,90/100,变桨变速,3,20,8.2,半直驱,2650,690,50,,,全顺桨,机械制动,52.5
58,GW3.3-155,3300,3,155,18772,100,变桨变速,2.5,18,9.5,永磁同步,,690,50,,,全顺桨,液压机械制动,52.5
